keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
investor-sentiment,6,-0.14,0.54,0.59,0.90
invite,26,-0.14,0.56,0.54,0.85
invoke,26,-0.14,0.56,0.69,0.76
involve,26,-0.14,0.56,0.54,0.85
involved-party,11,-0.18,0.46,0.56,0.91
iot,19,-0.17,0.51,0.64,0.93
iot-based,4,-0.17,0.43,0.57,0.93
iot-industry,10,-0.19,0.51,0.53,0.97
ipad,18,-0.20,0.45,0.54,0.95
iranian,30,-0.13,0.56,0.81,0.73
iranian-airline,36,-0.10,0.57,0.51,0.99
iranian-delegation,30,-0.13,0.56,0.57,0.92
iranian-diplomat,30,-0.13,0.56,0.58,0.93
iranian-embassy,30,-0.13,0.56,0.55,0.93
iranian-missile,11,-0.18,0.46,0.53,0.91
iranian-national,11,-0.18,0.46,0.56,0.92
iranian-student,11,-0.18,0.46,0.60,0.83
iraqi,30,-0.13,0.56,0.81,0.71
iraqi-officials,30,-0.13,0.56,0.59,0.86
irish,30,-0.13,0.56,0.63,0.85
irish-airline,36,-0.10,0.57,0.73,0.81
irish-budget-airline,36,-0.10,0.57,0.54,0.92
irish-carrier,36,-0.10,0.57,0.71,0.78
irish-low-cost-airline,36,-0.10,0.57,0.62,0.86
irish-low-cost-carrier,36,-0.10,0.57,0.61,0.84
iron,12,-0.15,0.52,0.60,0.84
irregularity,11,-0.18,0.46,0.54,0.87
islam,30,-0.13,0.56,0.57,0.88
island,29,-0.12,0.59,0.81,0.71
island-chain,29,-0.12,0.59,0.63,0.91
islands,29,-0.12,0.59,0.78,0.76
isolate,26,-0.14,0.56,0.56,0.88
isolation,20,-0.14,0.55,0.51,0.92
isolation-period,17,-0.17,0.48,0.55,1.00
israeli,30,-0.13,0.56,0.84,0.72
israeli-airline,36,-0.10,0.57,0.64,0.85
israeli-flag-carrier,36,-0.10,0.57,0.60,0.94
israelis,30,-0.13,0.56,0.61,0.85
israir,36,-0.10,0.57,0.69,0.79
issuance,2,-0.20,0.46,0.52,0.88
issue,2,-0.20,0.46,0.52,0.95
it,9,-0.15,0.55,0.55,0.91
italian,30,-0.13,0.56,0.67,0.84
italian-airline,36,-0.10,0.57,0.64,0.84
itinerary,17,-0.17,0.48,0.66,0.93
ivalo,38,-0.14,0.48,0.52,0.95
ivorian,30,-0.13,0.56,0.57,0.92
jacinda-ardern,30,-0.13,0.56,0.55,0.96
jack,34,-0.17,0.50,0.51,0.97
jaguar-land-rover,15,-0.18,0.43,0.63,0.90
jain,31,-0.17,0.48,0.56,0.84
jamaican,30,-0.13,0.56,0.56,0.93
jambojet,36,-0.10,0.57,0.74,0.76
jammed,16,-0.21,0.42,0.64,0.85
jammer,0,-0.11,0.56,0.59,0.92
jan,27,-0.19,0.54,0.53,0.91
january-february-period,25,-0.18,0.39,0.57,0.96
january-june-period,13,-0.20,0.50,0.64,0.91
january-september-period,13,-0.20,0.50,0.61,0.92
japanese,30,-0.13,0.56,0.68,0.80
japanese-airline,36,-0.10,0.57,0.56,0.90
japanese-carrier,36,-0.10,0.57,0.67,0.83
japanese-counterpart,30,-0.13,0.56,0.53,0.92
jaxa,0,-0.11,0.56,0.56,0.95
jazz,34,-0.17,0.50,0.52,0.94
jd,15,-0.18,0.43,0.57,0.91
jeff,31,-0.17,0.48,0.55,0.90
jeopardize,26,-0.14,0.56,0.57,0.87
jet,0,-0.11,0.56,0.68,0.93
jet2,36,-0.10,0.57,0.63,0.92
jet2-flight,36,-0.10,0.57,0.50,0.99
jet2holidays,36,-0.10,0.57,0.56,0.93
jet-aircraft,0,-0.11,0.56,0.73,0.88
jetblue,36,-0.10,0.57,0.73,0.89
jetblue-airways,36,-0.10,0.57,0.69,0.91
jet-engine,0,-0.11,0.56,0.67,0.91
jet-fuel,37,-0.11,0.58,0.64,0.86
jet-fuel-consumption,6,-0.14,0.54,0.59,0.96
jet-kerosene,8,-0.17,0.40,0.54,0.91
jetport,38,-0.14,0.48,0.61,0.86
jet-service,36,-0.10,0.57,0.72,0.83
jetstar,36,-0.10,0.57,0.81,0.80
jetstar-flight,17,-0.17,0.48,0.51,0.93
jetstar-pacific,36,-0.10,0.57,0.70,0.85
jfk,38,-0.14,0.48,0.69,0.92
jihadist,30,-0.13,0.56,0.60,0.86
jin-air,36,-0.10,0.57,0.56,0.91
j-k,24,-0.16,0.46,0.62,0.91
job,9,-0.15,0.55,0.65,0.89
job-loss,20,-0.14,0.55,0.57,0.88
job-opportunity,5,-0.19,0.44,0.55,0.88
job-seeker,5,-0.19,0.44,0.61,0.83
joby-aviation,15,-0.18,0.43,0.55,0.94
john-c,38,-0.14,0.48,0.56,0.84
john-f,38,-0.14,0.48,0.52,0.88
johns-island,38,-0.14,0.48,0.52,0.86
johnson,31,-0.17,0.48,0.72,0.82
john-wayne,38,-0.14,0.48,0.54,0.89
join,26,-0.14,0.56,0.53,0.89
joint-base-cape-cod,38,-0.14,0.48,0.62,0.80
joint-venture,15,-0.18,0.43,0.54,0.95
jos,38,-0.14,0.48,0.51,0.90
jose,38,-0.14,0.48,0.54,0.97
journey,34,-0.17,0.50,0.51,0.94
joyride,34,-0.17,0.50,0.53,0.97
juba,24,-0.16,0.46,0.51,0.99
jubilee,38,-0.14,0.48,0.51,0.90
judgment,2,-0.20,0.46,0.61,0.89
july,27,-0.19,0.54,0.52,0.96
july-august-period,25,-0.18,0.39,0.52,0.98
jumbo-jet,0,-0.11,0.56,0.65,0.98
jumper,34,-0.17,0.50,0.61,0.91
jumpstart,26,-0.14,0.56,0.55,0.89
june,27,-0.19,0.54,0.51,0.97
june-figure,25,-0.18,0.39,0.61,0.86
jung,31,-0.17,0.48,0.54,0.85
justifiable,21,-0.18,0.50,0.53,0.96
justify,26,-0.14,0.56,0.62,0.83
kalihi,38,-0.14,0.48,0.56,0.85
kalimantan,24,-0.16,0.46,0.61,0.87
kamchatka,24,-0.16,0.46,0.60,0.97
kansai,38,-0.14,0.48,0.55,0.96
kansai-region,24,-0.16,0.46,0.50,0.93
kapolei,38,-0.14,0.48,0.62,0.82
karipur,38,-0.14,0.48,0.53,0.92
katunayake,38,-0.14,0.48,0.53,0.94
kayak,34,-0.17,0.50,0.53,0.97
kaye,31,-0.17,0.48,0.56,0.87
kazakh,30,-0.13,0.56,0.69,0.82
kc,38,-0.14,0.48,0.51,0.94
keen,14,-0.13,0.58,0.77,0.71
keep,26,-0.14,0.56,0.66,0.83
kent,38,-0.14,0.48,0.69,0.83
kenyan,30,-0.13,0.56,0.69,0.82
keolis,36,-0.10,0.57,0.56,0.99
keqiang,30,-0.13,0.56,0.52,0.94
kerosene,37,-0.11,0.58,0.51,0.99
key,19,-0.17,0.51,0.53,0.96
key-aspect,23,-0.16,0.52,0.73,0.76
key-attraction,23,-0.16,0.52,0.58,0.94
key-component,23,-0.16,0.52,0.78,0.72
key-destination,23,-0.16,0.52,0.59,0.90
key-determinant,23,-0.16,0.52,0.54,0.93
key-driver,23,-0.16,0.52,0.79,0.74
key-driving-force,23,-0.16,0.52,0.67,0.80
key-enabler,23,-0.16,0.52,0.77,0.78
key-focus,23,-0.16,0.52,0.75,0.76
key-growth,10,-0.19,0.51,0.53,0.91
key-lever,23,-0.16,0.52,0.70,0.78
keynote-address,31,-0.17,0.48,0.53,0.96
key-player,23,-0.16,0.52,0.70,0.78
key-priority,23,-0.16,0.52,0.77,0.73
key-reason,23,-0.16,0.52,0.57,0.86
key-region,10,-0.19,0.51,0.54,0.93
key-role,23,-0.16,0.52,0.58,0.91
key-stakeholder,23,-0.16,0.52,0.61,0.88
key-strategic-priority,23,-0.16,0.52,0.62,0.84
key-summer-season,39,-0.17,0.41,0.61,0.86
kg,13,-0.20,0.50,0.53,0.96
khareef-season,39,-0.17,0.41,0.59,0.90
khasab,24,-0.16,0.46,0.62,0.93
kia,15,-0.18,0.43,0.60,0.92
kick,26,-0.14,0.56,0.56,0.92
kick-off,34,-0.17,0.50,0.51,0.92
kickstart,26,-0.14,0.56,0.56,0.86
kill,26,-0.14,0.56,0.64,0.83
kilotonnes,25,-0.18,0.39,0.52,0.95
kinetic,4,-0.17,0.43,0.51,0.97
king-abdullah,30,-0.13,0.56,0.67,0.88
kingdom,24,-0.16,0.46,0.67,0.98
kirby,38,-0.14,0.48,0.50,0.95
kish,38,-0.14,0.48,0.54,0.94
kit,12,-0.15,0.52,0.57,0.96
kite,0,-0.11,0.56,0.51,0.94
klia,17,-0.17,0.48,0.57,0.99
km,27,-0.19,0.54,0.56,0.93
kn95-mask,5,-0.19,0.44,0.51,0.91
knee,34,-0.17,0.50,0.52,0.97
knife,9,-0.15,0.55,0.62,0.91
knock-on-effect,28,-0.19,0.48,0.52,0.97
knot,34,-0.17,0.50,0.52,0.90
know,26,-0.14,0.56,0.53,0.98
knowledge,19,-0.17,0.51,0.63,0.88
knowledgeable,21,-0.18,0.50,0.52,0.91
knowledge-based,19,-0.17,0.51,0.59,0.89
kona,38,-0.14,0.48,0.57,0.90
kongsberg,15,-0.18,0.43,0.57,0.93
kopeck,27,-0.19,0.54,0.56,0.86
korean-air,36,-0.10,0.57,0.83,0.81
kpa,27,-0.19,0.54,0.56,0.93
kq,36,-0.10,0.57,0.73,0.83
kremlin,30,-0.13,0.56,0.68,0.85
kruger,38,-0.14,0.48,0.51,0.89
ksa,24,-0.16,0.46,0.63,0.88
kshs,27,-0.19,0.54,0.51,0.96
kualanamu,36,-0.10,0.57,0.54,0.93
kulula,36,-0.10,0.57,0.53,0.93
kurdish,30,-0.13,0.56,0.68,0.79
kuwaiti,30,-0.13,0.56,0.66,0.82
kyrgyz,30,-0.13,0.56,0.72,0.78
kyushu,24,-0.16,0.46,0.57,0.98
l3harris,15,-0.18,0.43,0.58,0.94
la,38,-0.14,0.48,0.70,0.91
label,18,-0.20,0.45,0.56,0.92
labor,35,-0.17,0.47,0.50,0.95
labor-crunch,20,-0.14,0.55,0.55,0.94
labor-strike,7,-0.19,0.45,0.51,0.93
labour,30,-0.13,0.56,0.52,0.97
la-compagnie,36,-0.10,0.57,0.64,0.86
lag,28,-0.19,0.48,0.61,0.90
laguardia,38,-0.14,0.48,0.64,0.97
lake,29,-0.12,0.59,0.80,0.75
lakefront,38,-0.14,0.48,0.59,0.94
lake-nona,38,-0.14,0.48,0.57,0.89
lambert,38,-0.14,0.48,0.53,0.92
land,29,-0.12,0.59,0.59,0.94
land-based,35,-0.17,0.47,0.52,0.93
landfill,37,-0.11,0.58,0.51,1.00
landing,34,-0.17,0.50,0.55,0.94
landing-aircraft,0,-0.11,0.56,0.70,0.84
landing-gear,0,-0.11,0.56,0.70,0.93
landing-system,0,-0.11,0.56,0.69,0.84
landlocked,24,-0.16,0.46,0.61,0.87
landlord,9,-0.15,0.55,0.57,1.00
landmark-step,23,-0.16,0.52,0.57,0.89
land-port,24,-0.16,0.46,0.53,0.96
land-route,17,-0.17,0.48,0.53,1.00
landsbergis,30,-0.13,0.56,0.54,0.96
land-transport,35,-0.17,0.47,0.63,0.88
land-transportation,35,-0.17,0.47,0.58,0.88
lane,34,-0.17,0.50,0.54,0.96
langkawi,24,-0.16,0.46,0.63,0.99
language,18,-0.20,0.45,0.54,0.92
lankan,30,-0.13,0.56,0.53,0.95
lantau,24,-0.16,0.46,0.53,0.96
lanzarote,17,-0.17,0.48,0.60,0.94
large-aircraft,0,-0.11,0.56,0.71,0.86
large-crowd,34,-0.17,0.50,0.54,0.93
large-fleet,0,-0.11,0.56,0.51,0.97
large-outbreak,20,-0.14,0.55,0.61,0.91
larger-aircraft,0,-0.11,0.56,0.69,0.95
large-role,23,-0.16,0.52,0.56,0.86
larger-plane,36,-0.10,0.57,0.56,0.91
large-scale,19,-0.17,0.51,0.51,0.97
largest-aircraft,36,-0.10,0.57,0.59,0.96
largest-airline,36,-0.10,0.57,0.63,0.86
largest-application,10,-0.19,0.51,0.53,0.88
largest-carrier,36,-0.10,0.57,0.63,0.86
largest-market,10,-0.19,0.51,0.63,0.90
late,34,-0.17,0.50,0.52,0.93
latvian,30,-0.13,0.56,0.66,0.82
latvian-airline-airbaltic,36,-0.10,0.57,0.56,0.89
lau,31,-0.17,0.48,0.54,0.87
lauda,36,-0.10,0.57,0.63,0.88
launch-customer,36,-0.10,0.57,0.59,0.96
launch-vehicle,0,-0.11,0.56,0.76,0.81
lavatory,12,-0.15,0.52,0.51,0.98
law,2,-0.20,0.46,0.59,0.93
law-professor,31,-0.17,0.48,0.52,0.94
lawyer,31,-0.17,0.48,0.65,0.97
lay,26,-0.14,0.56,0.57,0.86
layer,12,-0.15,0.52,0.67,0.89
layoff,7,-0.19,0.45,0.51,0.97
layover,17,-0.17,0.48,0.67,0.97
lcc,15,-0.18,0.43,0.62,0.87
lccs,36,-0.10,0.57,0.61,0.87
lead,26,-0.14,0.56,0.62,0.85
leadership,19,-0.17,0.51,0.61,0.86
leadership-role,23,-0.16,0.52,0.56,0.91
leading-edge,19,-0.17,0.51,0.58,0.97
leading-player,23,-0.16,0.52,0.61,0.87
leading-region,10,-0.19,0.51,0.60,0.88
leading-role,23,-0.16,0.52,0.60,0.87
leading-technology,19,-0.17,0.51,0.60,0.89
league,34,-0.17,0.50,0.54,0.95
leakage,12,-0.15,0.52,0.59,0.92
lean-period,39,-0.17,0.41,0.66,0.91
lean-season,33,-0.03,0.67,0.62,0.90
leapfrog,26,-0.14,0.56,0.53,0.92
learn,26,-0.14,0.56,0.60,0.86
learning,19,-0.17,0.51,0.52,0.92
leased-aircraft,36,-0.10,0.57,0.54,0.92
leather,12,-0.15,0.52,0.61,0.84
leave,26,-0.14,0.56,0.66,0.85
leaving,16,-0.21,0.42,0.54,0.94
lecture,34,-0.17,0.50,0.50,0.96
ledger,18,-0.20,0.45,0.52,0.89
left-side,12,-0.15,0.52,0.55,0.93
leg,34,-0.17,0.50,0.58,1.00
legacy-carrier,36,-0.10,0.57,0.63,0.84
legislation,2,-0.20,0.46,0.64,0.89
legislature,2,-0.20,0.46,0.59,0.92
leh,38,-0.14,0.48,0.57,0.98
leidos,15,-0.18,0.43,0.57,0.84
leisure-airline,36,-0.10,0.57,0.50,0.90
leisure-spending,6,-0.14,0.54,0.61,0.89
leisure-traffic,6,-0.14,0.54,0.60,0.95
leisure-travel,6,-0.14,0.54,0.67,0.90
lengthen,26,-0.14,0.56,0.55,0.94
lengthy-delay,7,-0.19,0.45,0.62,0.88
lessee,2,-0.20,0.46,0.57,0.89
lessen,26,-0.14,0.56,0.60,0.93
lessor,2,-0.20,0.46,0.55,0.90
lethal,32,-0.17,0.52,0.53,0.93
lettuce,12,-0.15,0.52,0.51,0.90
level,13,-0.20,0.50,0.52,0.93
level-flight,0,-0.11,0.56,0.56,0.87
levels,13,-0.20,0.50,0.60,0.93
leverage,26,-0.14,0.56,0.60,0.96
levy,2,-0.20,0.46,0.62,0.83
lewis,38,-0.14,0.48,0.59,0.99
lhr,36,-0.10,0.57,0.61,0.91
liability,2,-0.20,0.46,0.57,0.88
liberalization,1,-0.19,0.31,0.51,0.97
liberalize,26,-0.14,0.56,0.51,0.97
libyan,30,-0.13,0.56,0.81,0.66
licence,2,-0.20,0.46,0.55,0.93
liege,38,-0.14,0.48,0.60,0.89
life,9,-0.15,0.55,0.56,0.92
lifeboat,34,-0.17,0.50,0.55,0.99
lift,26,-0.14,0.56,0.60,0.87
light,12,-0.15,0.52,0.53,0.96
light-aircraft,0,-0.11,0.56,0.77,0.78
light-cargo,0,-0.11,0.56,0.55,0.97
light-emitting-diode,4,-0.17,0.43,0.51,0.97
lighter,12,-0.15,0.52,0.55,0.94
lightning,12,-0.15,0.52,0.51,0.96
light-weight,12,-0.15,0.52,0.61,0.93
lightweight,12,-0.15,0.52,0.62,0.92
lightweight-aircraft,0,-0.11,0.56,0.62,0.90
lightweighting,37,-0.11,0.58,0.56,0.99
lightweight-material,12,-0.15,0.52,0.59,0.89
lightweight-product,4,-0.17,0.43,0.52,0.91
lightweight-technology,4,-0.17,0.43,0.60,0.85
lightweight-vehicle,4,-0.17,0.43,0.52,0.98
li-ion,4,-0.17,0.43,0.53,0.94
lilium,15,-0.18,0.43,0.52,0.92
lim,31,-0.17,0.48,0.64,0.81
limit,26,-0.14,0.56,0.60,0.91
limited,21,-0.18,0.50,0.56,0.93
limo,34,-0.17,0.50,0.55,0.98
linate,36,-0.10,0.57,0.59,0.90
linear-actuator,12,-0.15,0.52,0.58,0.99
liner,12,-0.15,0.52,0.74,0.78
line-up,34,-0.17,0.50,0.59,0.87
lineup,34,-0.17,0.50,0.56,0.92
lingang,24,-0.16,0.46,0.59,0.87
lion,34,-0.17,0.50,0.57,0.96
lion-air,36,-0.10,0.57,0.66,0.87
liquid,12,-0.15,0.52,0.67,0.86
liquidation,2,-0.20,0.46,0.55,0.88
lismore,38,-0.14,0.48,0.62,0.81
lithium,37,-0.11,0.58,0.58,0.91
lithium-ion,37,-0.11,0.58,0.59,0.96
lithuanian,30,-0.13,0.56,0.75,0.73
live-person,5,-0.19,0.44,0.51,0.90
lng,37,-0.11,0.58,0.66,0.85
load,12,-0.15,0.52,0.57,0.92
loan,2,-0.20,0.46,0.64,0.91
loan-package,2,-0.20,0.46,0.53,0.89
lobbyist,31,-0.17,0.48,0.57,0.95
local-airline,36,-0.10,0.57,0.73,0.78
local-carrier,36,-0.10,0.57,0.65,0.84
local-company,15,-0.18,0.43,0.54,0.97
local-economic-recovery,6,-0.14,0.54,0.51,1.00
local-gdp,25,-0.18,0.39,0.65,0.85
local-government,2,-0.20,0.46,0.51,0.97
local-holiday,39,-0.17,0.41,0.50,0.96
localised,21,-0.18,0.50,0.53,0.94
localize,26,-0.14,0.56,0.58,0.96
localized,21,-0.18,0.50,0.57,0.91
local-presence,19,-0.17,0.51,0.52,0.92
local-resident,5,-0.19,0.44,0.61,0.99
local-tourism,6,-0.14,0.54,0.55,0.97
local-travel,17,-0.17,0.48,0.60,0.93
locate,26,-0.14,0.56,0.64,0.80
loc-based,15,-0.18,0.43,0.61,0.92
lockdown,33,-0.03,0.67,0.65,0.98
lockdown-period,33,-0.03,0.67,0.67,0.85
logan,38,-0.14,0.48,0.72,0.78
loganair,36,-0.10,0.57,0.78,0.80
logical,21,-0.18,0.50,0.53,0.91
logistic,35,-0.17,0.47,0.67,0.83
logistics,35,-0.17,0.47,0.80,0.92
logo,18,-0.20,0.45,0.54,0.91
lombok,24,-0.16,0.46,0.59,0.97
long-break,39,-0.17,0.41,0.62,1.00
long-delay,7,-0.19,0.45,0.59,0.90
long-distance-flight,0,-0.11,0.56,0.52,0.96
long-distance-journey,39,-0.17,0.41,0.50,0.95
long-distance-train,17,-0.17,0.48,0.61,0.89
long-distance-travel,17,-0.17,0.48,0.61,0.87
longer-term,6,-0.14,0.54,0.56,0.95
longest-flight,36,-0.10,0.57,0.52,0.97
long-flight,17,-0.17,0.48,0.62,0.96
longhaul,22,0.37,0.21,0.53,0.88
long-haul-aircraft,36,-0.10,0.57,0.69,0.94
long-haul-airline,36,-0.10,0.57,0.56,0.91
long-haul-destination,17,-0.17,0.48,0.54,0.96
long-haul-flight,17,-0.17,0.48,0.66,0.90
long-haul-route,36,-0.10,0.57,0.68,0.84
long-haul-travel,6,-0.14,0.54,0.63,0.93
long-haul-trucking,35,-0.17,0.47,0.54,0.95
long-holiday,33,-0.03,0.67,0.73,0.93
long-holiday-weekend,33,-0.03,0.67,0.72,0.82
long-layover,17,-0.17,0.48,0.56,1.00
long-month,39,-0.17,0.41,0.52,0.87
long-period,39,-0.17,0.41,0.51,0.97
long-range,0,-0.11,0.56,0.61,0.92
long-range-missile,0,-0.11,0.56,0.54,0.89
long-term-average,13,-0.20,0.50,0.61,0.88
long-term-commitment,23,-0.16,0.52,0.57,0.93
long-term-outlook,6,-0.14,0.54,0.52,0.92
long-term-stability,19,-0.17,0.51,0.52,0.94
long-term-value,19,-0.17,0.51,0.51,0.90
long-wait,7,-0.19,0.45,0.55,0.95
long-weekend,33,-0.03,0.67,0.84,0.67
look,26,-0.14,0.56,0.57,0.87
loosen,26,-0.14,0.56,0.59,0.86
lopez,31,-0.17,0.48,0.61,0.89
lorries,29,-0.12,0.59,0.52,0.98
lorry,34,-0.17,0.50,0.52,1.00
los-cabos,17,-0.17,0.48,0.58,0.99
lose,26,-0.14,0.56,0.59,0.89
loss,13,-0.20,0.50,0.51,0.91
lounge,34,-0.17,0.50,0.57,0.95
lourdes,38,-0.14,0.48,0.60,0.80
loved-one,5,-0.19,0.44,0.52,0.91
low-altitude,0,-0.11,0.56,0.63,0.88
low-carbon,37,-0.11,0.58,0.71,0.85
low-carbon-hydrogen,37,-0.11,0.58,0.74,0.74
low-carbon-technology,37,-0.11,0.58,0.70,0.84
low-carbon-transportation,37,-0.11,0.58,0.62,0.96
low-cost,4,-0.17,0.43,0.60,1.00
low-cost-airline,36,-0.10,0.57,0.81,0.81
low-cost-carrier,36,-0.10,0.57,0.83,0.81
low-cost-subsidiary,36,-0.10,0.57,0.68,0.81
low-earth-orbit,0,-0.11,0.56,0.61,0.88
low-energy-consumption,4,-0.17,0.43,0.58,0.99
lower,28,-0.19,0.48,0.57,0.93
lower-carbon,37,-0.11,0.58,0.69,0.77
lower-fuel-consumption,37,-0.11,0.58,0.58,0.92
lowering,28,-0.19,0.48,0.55,0.91
lower-noise,4,-0.17,0.43,0.51,0.97
lower-spending,6,-0.14,0.54,0.53,0.94
lowest,13,-0.20,0.50,0.52,0.92
low-frequency,12,-0.15,0.52,0.50,0.99
low-interest-loan,2,-0.20,0.46,0.51,0.95
low-point,13,-0.20,0.50,0.55,0.95
low-production,28,-0.19,0.48,0.52,0.97
low-single-digit,13,-0.20,0.50,0.52,1.00
lt,31,-0.17,0.48,0.62,0.89
lubricant,12,-0.15,0.52,0.66,0.85
lucrative-market,23,-0.16,0.52,0.58,0.96
lufthansa-cargo,36,-0.10,0.57,0.72,0.81
luggage,9,-0.15,0.55,0.58,0.95
luggage-market,10,-0.19,0.51,0.55,0.91
lull,7,-0.19,0.45,0.59,0.95
lululemon,15,-0.18,0.43,0.54,0.87
lunar-new-year,33,-0.03,0.67,0.83,0.68
lunar-new-year-holiday,33,-0.03,0.67,0.77,0.79
lunch,34,-0.17,0.50,0.63,0.95
lure,26,-0.14,0.56,0.55,0.87
lusatia,24,-0.16,0.46,0.58,0.94
luton,38,-0.14,0.48,0.57,0.93
luxair,36,-0.10,0.57,0.73,0.78
luxury-spending,6,-0.14,0.54,0.56,0.98
luzon,24,-0.16,0.46,0.59,0.91
lvdt,4,-0.17,0.43,0.52,0.92
lyon,38,-0.14,0.48,0.57,0.91
macarthur,38,-0.14,0.48,0.59,0.83
machine,12,-0.15,0.52,0.75,0.95
machined,12,-0.15,0.52,0.64,0.87
machine-learning,19,-0.17,0.51,0.67,0.87
machine-learning-technology,4,-0.17,0.43,0.53,0.99
machines,12,-0.15,0.52,0.57,0.95
machining,4,-0.17,0.43,0.54,0.98
macquarie,15,-0.18,0.43,0.51,0.90
mactan,38,-0.14,0.48,0.63,0.93
mactan-island,24,-0.16,0.46,0.60,0.93
madison,38,-0.14,0.48,0.59,0.88
maersk,15,-0.18,0.43,0.67,0.96
magic,34,-0.17,0.50,0.53,0.96
magistrate,31,-0.17,0.48,0.54,0.95
magnesium,12,-0.15,0.52,0.58,0.89
magnesium-alloy,12,-0.15,0.52,0.61,0.91
magnetic,12,-0.15,0.52,0.58,0.90
magnify,26,-0.14,0.56,0.58,0.94
magnix,0,-0.11,0.56,0.60,0.96
mahan-air,36,-0.10,0.57,0.61,0.89
maiden-flight,0,-0.11,0.56,0.58,0.98
main-airline,36,-0.10,0.57,0.61,0.91
main-driver,23,-0.16,0.52,0.53,0.97
main-focus,23,-0.16,0.52,0.56,0.88
mainland,29,-0.12,0.59,0.58,0.93
mainstay,23,-0.16,0.52,0.63,0.88
maintain,26,-0.14,0.56,0.63,0.86
maintenance,35,-0.17,0.47,0.59,0.93
maintenance-service,35,-0.17,0.47,0.50,0.99
main-terminal,38,-0.14,0.48,0.62,0.93
major-airline,36,-0.10,0.57,0.65,0.89
major-airlines,36,-0.10,0.57,0.65,0.90
major-airport,17,-0.17,0.48,0.55,0.96
major-bank,5,-0.19,0.44,0.51,0.94
major-barrier,23,-0.16,0.52,0.60,0.85
majorca,17,-0.17,0.48,0.63,0.92
major-carrier,36,-0.10,0.57,0.65,0.87
major-component,23,-0.16,0.52,0.62,0.87
major-concern,23,-0.16,0.52,0.64,0.93
major-contributor,23,-0.16,0.52,0.68,0.85
major-crisis,7,-0.19,0.45,0.67,0.94
major-delay,7,-0.19,0.45,0.53,0.95
major-destination,23,-0.16,0.52,0.51,0.97
major-downturn,7,-0.19,0.45,0.53,0.95
major-driver,23,-0.16,0.52,0.72,0.79
major-employment,24,-0.16,0.46,0.52,0.88
major-end-user,10,-0.19,0.51,0.55,0.95
major-focus,23,-0.16,0.52,0.73,0.75
major-growth,10,-0.19,0.51,0.56,0.97
major-growth-driver,23,-0.16,0.52,0.64,0.90
major-holiday,33,-0.03,0.67,0.58,0.98
major-infrastructure,35,-0.17,0.47,0.54,0.96
majorly,10,-0.19,0.51,0.59,0.88
major-outbreak,20,-0.14,0.55,0.63,0.95
major-player,23,-0.16,0.52,0.70,0.79
major-port,24,-0.16,0.46,0.56,0.95
major-reason,23,-0.16,0.52,0.58,0.86
major-recovery,39,-0.17,0.41,0.51,0.97
major-region,10,-0.19,0.51,0.60,0.86
major-role,23,-0.16,0.52,0.59,0.85
major-slowdown,7,-0.19,0.45,0.55,0.98
major-stakeholder,23,-0.16,0.52,0.55,0.93
major-step,23,-0.16,0.52,0.63,0.83
major-step-forward,23,-0.16,0.52,0.71,0.78
major-storm,7,-0.19,0.45,0.54,0.98
make,26,-0.14,0.56,0.69,0.82
malaysian,30,-0.13,0.56,0.58,0.92
maldivian,30,-0.13,0.56,0.61,0.97
male-passenger,5,-0.19,0.44,0.53,0.92
mallorca,17,-0.17,0.48,0.58,1.00
malpensa,36,-0.10,0.57,0.66,0.89
man,9,-0.15,0.55,0.75,0.88
manage,26,-0.14,0.56,0.62,0.88
manageable,21,-0.18,0.50,0.57,0.97
managed-isolation,17,-0.17,0.48,0.54,0.90
management-system,4,-0.17,0.43,0.57,0.99
manager,31,-0.17,0.48,0.59,0.95
mandate,2,-0.20,0.46,0.63,0.89
mandatory,21,-0.18,0.50,0.53,0.90
mandatory-quarantine,17,-0.17,0.48,0.61,0.91
maneuver,26,-0.14,0.56,0.53,0.96
maneuverability,0,-0.11,0.56,0.59,0.95
mangrove-forest,24,-0.16,0.46,0.55,0.94
manifest,26,-0.14,0.56,0.60,0.87
manila,24,-0.16,0.46,0.53,0.98
manila-route,22,0.37,0.21,0.57,0.72
manned-aircraft,0,-0.11,0.56,0.76,0.80
manned-aviation,0,-0.11,0.56,0.53,0.92
manoeuvrability,0,-0.11,0.56,0.54,0.95
manpower,35,-0.17,0.47,0.52,0.92
manston,38,-0.14,0.48,0.52,0.96
manual,18,-0.20,0.45,0.60,0.90
manually,18,-0.20,0.45,0.55,0.95
manufacturing,35,-0.17,0.47,0.73,0.95
manufacturing-technologies,19,-0.17,0.51,0.59,0.95
mara,38,-0.14,0.48,0.55,0.91
march-number,25,-0.18,0.39,0.50,0.89
march-period,25,-0.18,0.39,0.50,0.97
marginal,28,-0.19,0.48,0.59,0.88
margin-pressure,6,-0.14,0.54,0.64,0.95
marine,35,-0.17,0.47,0.59,0.88
marine-fuel,37,-0.11,0.58,0.55,0.91
marine-infrastructure,35,-0.17,0.47,0.59,0.91
marine-transportation,35,-0.17,0.47,0.68,0.79
maritime,35,-0.17,0.47,0.73,0.83
maritime-connectivity,24,-0.16,0.46,0.55,0.99
maritime-domain,24,-0.16,0.46,0.54,0.96
