keyword,cluster_id,silhoutte_score,avg_cos_sim_to_centroid,cos_sim_to_centroid,centroid_ratio
cargo-freighter,36,-0.10,0.57,0.59,0.97
cargo-handling,35,-0.17,0.47,0.60,0.89
cargo-hold,0,-0.11,0.56,0.55,0.99
cargojet,15,-0.18,0.43,0.51,0.94
cargo-load,0,-0.11,0.56,0.62,0.88
cargo-only,36,-0.10,0.57,0.65,0.84
cargo-operator,22,0.37,0.21,0.54,0.93
cargo-plane,0,-0.11,0.56,0.61,0.97
cargo-revenue,25,-0.18,0.39,0.73,0.97
cargo-service,36,-0.10,0.57,0.71,0.89
cargo-shipment,22,0.37,0.21,0.52,0.98
cargo-terminal,38,-0.14,0.48,0.54,0.97
cargo-tonnage,25,-0.18,0.39,0.62,0.94
cargo-traffic,6,-0.14,0.54,0.57,0.94
cargo-transport,35,-0.17,0.47,0.59,0.93
cargo-transportation,35,-0.17,0.47,0.63,0.89
cargo-yield,25,-0.18,0.39,0.61,0.87
caribbean,29,-0.12,0.59,0.60,0.96
carmaker,36,-0.10,0.57,0.54,0.99
carnival,34,-0.17,0.50,0.54,1.00
carousel,38,-0.14,0.48,0.51,0.99
carpet,12,-0.15,0.52,0.59,0.89
car-rental,17,-0.17,0.48,0.51,0.99
carriage,12,-0.15,0.52,0.54,0.97
carrier,36,-0.10,0.57,0.68,0.95
carry,26,-0.14,0.56,0.69,0.77
carry-on-baggage,17,-0.17,0.48,0.52,0.94
car-travel,17,-0.17,0.48,0.58,0.94
car-trip,17,-0.17,0.48,0.55,0.93
case,9,-0.15,0.55,0.54,0.93
cash-consumption,25,-0.18,0.39,0.51,0.93
cashflow,6,-0.14,0.54,0.53,0.91
cash-flow-generation,6,-0.14,0.54,0.51,0.90
cash-refund,5,-0.19,0.44,0.53,0.99
cash-strapped-airline,36,-0.10,0.57,0.50,0.91
casket,34,-0.17,0.50,0.53,0.94
castro,31,-0.17,0.48,0.55,0.98
cataclysmic,32,-0.17,0.52,0.52,1.00
catalogue,18,-0.20,0.45,0.56,0.88
catalyst,23,-0.16,0.52,0.64,0.86
catalyze,26,-0.14,0.56,0.52,0.98
catania,38,-0.14,0.48,0.62,0.90
catastrophic,32,-0.17,0.52,0.62,0.88
catch,26,-0.14,0.56,0.58,0.90
catchment,29,-0.12,0.59,0.58,0.96
categorize,26,-0.14,0.56,0.57,0.86
cater,26,-0.14,0.56,0.65,0.82
cathay,36,-0.10,0.57,0.62,0.93
cathay-dragon,36,-0.10,0.57,0.68,0.79
cathay-pacific,36,-0.10,0.57,0.80,0.83
cathay-pacific-cargo,36,-0.10,0.57,0.66,0.85
caticlan,17,-0.17,0.48,0.61,0.97
cattle,29,-0.12,0.59,0.51,0.95
cautious,32,-0.17,0.52,0.58,0.93
ccl,15,-0.18,0.43,0.58,0.84
cdb-aviation,36,-0.10,0.57,0.55,0.96
cdg,36,-0.10,0.57,0.59,0.93
ceasefire,30,-0.13,0.56,0.62,0.92
ceb,15,-0.18,0.43,0.54,0.94
celebrate,26,-0.14,0.56,0.50,0.94
cell,12,-0.15,0.52,0.59,0.92
cellular-communication,4,-0.17,0.43,0.56,0.88
cemair,36,-0.10,0.57,0.68,0.83
cent,13,-0.20,0.50,0.52,0.99
centerline,12,-0.15,0.52,0.52,0.96
central,29,-0.12,0.59,0.56,0.98
centralized-management,4,-0.17,0.43,0.57,0.91
central-region,24,-0.16,0.46,0.60,0.86
ceramic,12,-0.15,0.52,0.57,0.91
ceramic-coating,12,-0.15,0.52,0.60,0.91
ceramic-fiber-market,10,-0.19,0.51,0.63,0.85
ceremony,34,-0.17,0.50,0.59,0.91
certainly,32,-0.17,0.52,0.50,0.93
certificate,18,-0.20,0.45,0.51,0.98
certified,21,-0.18,0.50,0.52,0.89
certify,26,-0.14,0.56,0.59,0.83
certus,4,-0.17,0.43,0.53,0.96
ceva-logistics,15,-0.18,0.43,0.61,0.94
cfcs,37,-0.11,0.58,0.53,0.94
cfr,27,-0.19,0.54,0.52,0.92
cgs,15,-0.18,0.43,0.54,0.89
ch-47f-chinook,0,-0.11,0.56,0.63,0.91
chabahar,24,-0.16,0.46,0.69,0.86
chair,31,-0.17,0.48,0.64,0.91
chairman,31,-0.17,0.48,0.61,0.90
